LicenseNumber,LicenseType,LicenseTypeSubCategory,LicenseCategoryNumber,LicenseStatus,BusinessName,DoingBusinessAs,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty,Geo,Full Address,ZCTA5,GEOID,votes_dem,votes_rep,pct_dem_lead
20103300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3406,,101 E. CHARLES STREET,BUCYRUS,OH,44820,Crawford,"(40.8050124, -82.9749475)","101 E. CHARLES STREET, BUCYRUS, OH 44820",44820,39033-BUCYRUS 4B,187,388,-34.4
20130700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3407,,918 HIGH STREET,WORTHINGTON,OH,43085,Franklin,"(40.0927347, -83.01746519999999)","918 HIGH STREET, WORTHINGTON, OH 43085",43085,39049-WORTHINGTON 4-A,442,158,46.9
20158150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3408,,1795 COLUMBUS AVENUE,WASHINGTON C.H.,OH,43160,Fayette,"(39.55021259999999, -83.42259469999999)","1795 COLUMBUS AVENUE, WASHINGTON C.H., OH 43160",43160,39047-WASHINGTON 4A,184,511,-46.6
20124000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3410,,60 N. STYGLER ROAD,GAHANNA,OH,43230,Franklin,"(40.0197849, -82.8897262)","60 N. STYGLER ROAD, GAHANNA, OH 43230",43230,39049-GAHANNA 2-D,357,234,20.3
20120200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3411,,200 E DAYTON YELLOW SPRINGS RD,FAIRBORN,OH,45324,Greene,"(39.7887281, -84.0204301)","200 E DAYTON YELLOW SPRINGS RD, FAIRBORN, OH 45324",45324,39057-FAIRBORN 216,217,244,-5.8
20163100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3413,,4400 CLEVELAND AVENUE,COLUMBUS,OH,43224,Franklin,"(40.0588548, -82.95242429999999)","4400 CLEVELAND AVENUE, COLUMBUS, OH 43224",43224,39049-COLUMBUS 42-D,442,116,57.6
20103400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3416,,802 11TH ST,PORTSMOUTH,OH,45662,Scioto,"(38.7386375, -82.99576359999999)","802 11TH ST, PORTSMOUTH, OH 45662",45662,39145-PORTSMOUTH 2-B,123,40,50.3
20109350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3419,,353 E. MAIN STREET,JACKSON,OH,45640,Jackson,"(38.895833, -82.569818)","353 E. MAIN STREET, JACKSON, OH 45640",45656,39079-OAK HILL II,79,327,-60.2
20132150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3420,,1410 EAST DOROTHY LANE,KETTERING,OH,45429,Montgomery,"(39.7032144, -84.1411119)","1410 EAST DOROTHY LANE, KETTERING, OH 45429",45429,39113-KETTERING 2-A,515,554,-3.5
20103350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3422,,131 3RD STREET,MARIETTA,OH,45750,Washington,"(39.4136226, -81.4515452)","131 3RD STREET, MARIETTA, OH 45750",45750,39167-MARIETTA 2A,393,330,8.5
20103150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3427,,103 NORTH MAYSVILLE ROAD,ZANESVILLE,OH,43701,Muskingum,"(39.9064303, -82.019329)","103 NORTH MAYSVILLE ROAD, ZANESVILLE, OH 43701",43701,39119-SOUTH ZANESVILLE,212,482,-38.5
20153250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3432,,535 DELAWARE AVENUE,MARION,OH,43302,Marion,"(40.57984099999999, -83.1272748)","535 DELAWARE AVENUE, MARION, OH 43302",43302,39101-MARION 4-F,127,222,-25.7
20130250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3446,,1400 NORTH HIGH STREET,HILLSBORO,OH,45133,Highland,"(39.2217334, -83.6079851)","1400 NORTH HIGH STREET, HILLSBORO, OH 45133",45133,39071-HILLSBORO 2 NW,245,559,-38.4
20102700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3447,,4901 NORTH MAIN STREET,DAYTON,OH,45415,Montgomery,"(39.8132107, -84.2288145)","4901 NORTH MAIN STREET, DAYTON, OH 45415",45415,39113-HARRISON D,682,349,32
20082850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3452,,719 SCIOTO STREET,URBANA,OH,43078,Champaign,"(40.1063724, -83.73672289999999)","719 SCIOTO STREET, URBANA, OH 43078",43078,39021-URBANA 2-B,271,517,-30.9
20519600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3453,,32 NORTH LUDLOW STREET,DAYTON,OH,45402,Montgomery,"(39.7592277, -84.1913083)","32 NORTH LUDLOW STREET, DAYTON, OH 45402",45402,39113-DAYTON 01-C,301,66,63.2
22014050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3454,,1390 WEST HUNTER STREET,LOGAN,OH,43138,Hocking,"(39.5441662, -82.42818679999999)","1390 WEST HUNTER STREET, LOGAN, OH 43138",43138,39073-LOGAN 1,358,517,-17.9
20102800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3455,,200 S. SECOND STREET,COSHOCTON,OH,43812,Coshocton,"(40.2717882, -81.86849099999999)","200 S. SECOND STREET, COSHOCTON, OH 43812",43812,39031-COSHOCTON 2-A,194,310,-22.7
20102350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3457,,201 S MAIN ST,NEW CARLISLE,OH,45344,Clark,"(39.9356952, -84.02576859999999)","201 S MAIN ST, NEW CARLISLE, OH 45344",45344,39023-CARL 1,240,511,-35.3
20140700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3458,,1331 NORTH FAIRFIELD ROAD,BEAVERCREEK,OH,45432,Greene,"(39.7288048, -84.05792190000001)","1331 NORTH FAIRFIELD ROAD, BEAVERCREEK, OH 45432",45432,39057-BEAVERCREEK 010,279,365,-13.1
20102250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3462,,4329 WEST THIRD STREET,DAYTON,OH,45417,Montgomery,"(39.7500017, -84.2577415)","4329 WEST THIRD STREET, DAYTON, OH 45417",45417,39113-DAYTON 15-C,406,18,90.7
20102000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3467,,1300 WILMINGTON AVENUE,DAYTON,OH,45420,Montgomery,"(39.7233916, -84.15096179999999)","1300 WILMINGTON AVENUE, DAYTON, OH 45420",45420,39113-DAYTON 09-C,333,267,10.6
20098250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3468,,1493 Upper Valley Pike,Springfield,OH,45504-4023,Clark,"(39.9464298, -83.85347)","1493 Upper Valley Pike, Springfield, OH 45504-4023",45504,39023-GERMAN 2,323,720,-37.5
20157750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3471,,600 EAST STATE STREET,FREMONT,OH,43420,Sandusky,"(41.3454668, -83.1035821)","600 EAST STATE STREET, FREMONT, OH 43420",43420,39143-FREMONT CITY 3-A,236,203,7.3
20111150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3472,,1116 WHEELING AVENUE,CAMBRIDGE,OH,43725,Guernsey,"(40.0242509, -81.58393350000001)","1116 WHEELING AVENUE, CAMBRIDGE, OH 43725",43725,39059-CAMBRIDGE 4-B,207,375,-28.4
20161700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3474,,320 JEFFERSON STREET,IRONTON,OH,45638,Lawrence,"(38.5313725, -82.68151619999999)","320 JEFFERSON STREET, IRONTON, OH 45638",45638,39087-IRONTON 2C,40,106,-45.2
20146000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3476,,914 W. MAIN STREET,TIPP CITY,OH,45371,Miami,"(39.96003959999999, -84.18555830000001)","914 W. MAIN STREET, TIPP CITY, OH 45371",45371,39109-TIPP CITY E,268,622,-39.2
20131800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3477,,400 MIAMISBURG-CENTERVILLE ROAD,CENTERVILLE,OH,45459,Montgomery,"(39.6273983, -84.1707708)","400 MIAMISBURG-CENTERVILLE ROAD, CENTERVILLE, OH 45459",45458,39113-WASHINGTON T,443,378,7.8
20137250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3481,,969 WEST FIFTH STREET,MARYSVILLE,OH,43040,Union,"(40.2383762, -83.38306519999999)","969 WEST FIFTH STREET, MARYSVILLE, OH 43040",43040,39159-MARYSVILLE 07,195,295,-20.1
20137150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3484,,591 EAST LIVINGSTON AVENUE,COLUMBUS,OH,43215,Franklin,"(39.9518752, -82.982845)","591 EAST LIVINGSTON AVENUE, COLUMBUS, OH 43215",43206,39049-COLUMBUS 08-D,853,177,65
20155600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3498,,4207 GALLIA STREET,NEW BOSTON,OH,45662,Scioto,"(38.7556944, -82.93224409999999)","4207 GALLIA STREET, NEW BOSTON, OH 45662",45662,39145-NEW BOSTON 2-A,144,182,-11.5
20155750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3499,,251 EAST BROADWAY,NEW LEXINGTON,OH,43764,Perry,"(39.720321, -82.2058301)","251 EAST BROADWAY, NEW LEXINGTON, OH 43764",43764,39127-NEW LEXINGTON A/B,93,167,-27.9
20761300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3612,,407 NORTH FRONT STREET,OAK HILL,OH,45656,Jackson,"(38.89861399999999, -82.5713074)","407 NORTH FRONT STREET, OAK HILL, OH 45656",45656,39079-OAK HILL II,79,327,-60.2
20821300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3634,,2160 LEE ROAD,CLEVELAND HEIGHTS,OH,44118,Cuyahoga,"(41.5005689, -81.5657751)","2160 LEE ROAD, CLEVELAND HEIGHTS, OH 44118",44118,39035-CLEVELAND HEIGHTS 2-F,749,79,79.8
20816550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3645,,7710 CHIPPEWA ROAD,BRECKSVILLE,OH,44141,Cuyahoga,"(41.3191457, -81.62358739999999)","7710 CHIPPEWA ROAD, BRECKSVILLE, OH 44141",44141,39035-BRECKSVILLE G,603,495,9.7
20796300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3697,,19950 DETROIT ROAD,ROCKY RIVER,OH,44116,Cuyahoga,"(41.4799945, -81.8424412)","19950 DETROIT ROAD, ROCKY RIVER, OH 44116",44116,39035-ROCKY RIVER 3-A,604,409,19
20758800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3817,,7412 STATE ROAD,PARMA,OH,441344998,Cuyahoga,"(41.364386, -81.7178173)","7412 STATE ROAD, PARMA, OH 441344998",44129,39035-PARMA 5-D,298,459,-21.2
21006300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3978,,1137 STATE ROUTE 131,MILFORD,OH,45150,Clermont,"(39.1746418, -84.2369597)","1137 STATE ROUTE 131, MILFORD, OH 45150",45150,39025-MIAMI TWP M,249,434,-26.8
20845050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3980,,500 S. WATER STREET,KENT,OH,44240,Portage,"(41.1496921, -81.3588757)","500 S. WATER STREET, KENT, OH 44240",44240,39133-KENT 5-B,328,90,56.4
20818250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3992,,620 SOUTH CLEVELAND AVENUE,WESTERVILLE,OH,43081,Franklin,"(40.1113053, -82.9485412)","620 SOUTH CLEVELAND AVENUE, WESTERVILLE, OH 43081",43081,39049-WESTERVILLE 4-B,731,512,17.4
20841500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3996,,2846 MAHONING AVENUE,YOUNGSTOWN,OH,44509,Mahoning,"(41.1033716, -80.70181)","2846 MAHONING AVENUE, YOUNGSTOWN, OH 44509",44509,39099-YOUNGSTOWN CITY 4 D,416,183,38.1
20839850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #3997,,443 CLEVELAND STREET,ELYRIA,OH,44035,Lorain,"(41.37466910000001, -82.08507379999999)","443 CLEVELAND STREET, ELYRIA, OH 44035",44035,39093-ELYRIA CITY 7-C,369,371,-0.3
20758650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4054,,8001 WEST 130TH STREET,NORTH ROYALTON,OH,44133,Cuyahoga,"(41.3503155, -81.7844823)","8001 WEST 130TH STREET, NORTH ROYALTON, OH 44133",44133,39035-NORTH ROYALTON 1-C,339,502,-19.2
20758600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4057,,9 WEST 130TH STREET,HINCKLEY,OH,44233,Medina,"(41.2760065, -81.7843973)","9 WEST 130TH STREET, HINCKLEY, OH 44233",44233,39103-HINCKLEY TWP D,362,706,-31.7
20758900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4078,,375 LEAR STREET,AVON LAKE,OH,44012,Lorain,"(41.4948525, -81.9860854)","375 LEAR STREET, AVON LAKE, OH 44012",44012,39093-AVON LAKE CITY 1-B,644,552,7.6
20776200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4101,,34 SHOPPING PLAZA DRIVE,CHAGRIN FALLS,OH,44022,Cuyahoga,"(41.4315807, -81.3896444)","34 SHOPPING PLAZA DRIVE, CHAGRIN FALLS, OH 44022",44022,39035-CHAGRIN FALLS B,550,380,18.3
20780600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4208,,6527 BRECKSVILLE ROAD,INDEPENDENCE,OH,44131,Cuyahoga,"(41.3851815, -81.64045320000001)","6527 BRECKSVILLE ROAD, INDEPENDENCE, OH 44131",44131,39035-INDEPENDENCE A,367,577,-21.9
20792650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4223,,3100 CLEVELAND AVENUE,COLUMBUS,OH,43224,Franklin,"(40.0308674, -82.9634738)","3100 CLEVELAND AVENUE, COLUMBUS, OH 43224",43224,39049-COLUMBUS 23-D,652,203,51.9
20137550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4300,,13777 PEARL ROAD,STRONGSVILLE,OH,44136,Cuyahoga,"(41.31345150000001, -81.8344529)","13777 PEARL ROAD, STRONGSVILLE, OH 44136",44136,39035-STRONGSVILLE 4-A,577,619,-3.5
20138800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4301,,9302 Olde 8 Rd,Northfield,OH,44067-2027,Summit,"(41.31286720000001, -81.5384373)","9302 Olde 8 Rd, Northfield, OH 44067-2027",44067,39153-NORTHFIELD CENTER TWP C,259,369,-17.4
20093300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4304,,30791 DETROIT ROAD,WESTLAKE,OH,44145,Cuyahoga,"(41.4606027, -81.9600846)","30791 DETROIT ROAD, WESTLAKE, OH 44145",44145,39035-WESTLAKE 5-A,406,418,-1.4
20165650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4305,,840 EUCLID AVENUE,CLEVELAND,OH,44114,Cuyahoga,"(41.499883, -81.687106)","840 EUCLID AVENUE, CLEVELAND, OH 44114",44114,39035-CLEVELAND 03-L,942,323,48.5
20137350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4309,,1711 STATE ROAD,CUYAHOGA FALLS,OH,44223,Summit,"(41.1294413, -81.5076764)","1711 STATE ROAD, CUYAHOGA FALLS, OH 44223",44223,39153-CUYAHOGA FALLS 3-D,401,322,10.8
20139150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4316,,6301 HARVARD AVENUE,CLEVELAND,OH,44105,Cuyahoga,"(41.4485605, -81.6458888)","6301 HARVARD AVENUE, CLEVELAND, OH 44105",44105,39035-CLEVELAND 12-I,226,76,49.5
20081550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4320,,14025 PURITAS AVE,CLEVELAND,OH,44135,Cuyahoga,"(41.4331225, -81.79120069999999)","14025 PURITAS AVE, CLEVELAND, OH 44135",44135,39035-CLEVELAND 16-G,315,136,38.7
20139700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4327,,1506 MENTOR AVENUE,PAINESVILLE,OH,44077,Lake,"(41.7008294, -81.2770469)","1506 MENTOR AVENUE, PAINESVILLE, OH 44077",44077,39085-PAINESVILLE TWP H,363,452,-10.7
20151000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4330,,140 SOLON ROAD,BEDFORD,OH,44146,Cuyahoga,"(41.3881782, -81.5254078)","140 SOLON ROAD, BEDFORD, OH 44146",44146,39035-BEDFORD 3-A,319,104,49.8
20179050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4331,,380 STATE STREET,CONNEAUT,OH,44030,Ashtabula,"(41.9442964, -80.56094499999999)","380 STATE STREET, CONNEAUT, OH 44030",44030,39007-CONNEAUT 1-C,196,239,-9.7
20146500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4333,,2091 EASTWOOD AVENUE,AKRON,OH,44305,Summit,"(41.0846806, -81.442044)","2091 EASTWOOD AVENUE, AKRON, OH 44305",44305,39153-AKRON 10-F,379,265,17.3
20150950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4336,,10380 NORTHFIELD RD,NORTHFIELD,OH,44067,Summit,"(41.3413406, -81.5298316)","10380 NORTHFIELD RD, NORTHFIELD, OH 44067",44067,39153-NORTHFIELD VLG A,185,231,-10.7
20149000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4342,,900 YOUNGSTOWN-POLAND ROAD,STRUTHERS,OH,44471,Mahoning,"(41.0467022, -80.615186)","900 YOUNGSTOWN-POLAND ROAD, STRUTHERS, OH 44471",44471,39099-STRUTHERS CITY 4 B,226,254,-5.7
20151050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4345,,14440 Cedar Rd,Cleveland,OH,44121-3329,Cuyahoga,"(41.5009119, -81.5206534)","14440 Cedar Rd, Cleveland, OH 44121-3329",44118,39035-UNIVERSITY HEIGHTS F,483,180,45.5
20181750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4347,,11223 GRANGER ROAD,GARFIELD HEIGHTS,OH,44125,Cuyahoga,"(41.4176837, -81.607075)","11223 GRANGER ROAD, GARFIELD HEIGHTS, OH 44125",44125,39035-GARFIELD HEIGHTS 4-C,487,192,42.9
20433950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4348,,28700 CHARDON ROAD,WILLOUGHBY HILLS,OH,44092,Lake,"(41.5832364, -81.4793455)","28700 CHARDON ROAD, WILLOUGHBY HILLS, OH 44092",44092,39085-WILLOUGHBY HILLS CITY DD,542,270,33.3
20164450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4349,,15925 WEST HIGH ST.,MIDDLEFIELD,OH,44062,Geauga,"(41.4617513, -81.0739565)","15925 WEST HIGH ST., MIDDLEFIELD, OH 44062",44062,39055-MIDDLEFIELD VILL A,261,519,-32.7
20165100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4350,,13215 SHAKER SQUARE,CLEVELAND,OH,44120,Cuyahoga,"(41.4845039, -81.5895259)","13215 SHAKER SQUARE, CLEVELAND, OH 44120",44120,39035-CLEVELAND 04-Q,776,72,83
20448600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4351,,6005 SOM CENTER ROAD,WILLOUGHBY,OH,44094,Lake,"(41.6063602, -81.4390726)","6005 SOM CENTER ROAD, WILLOUGHBY, OH 44094",44094,39085-WILLOUGHBY CITY 4C,359,319,5.9
20721150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4353,,300 OXFORD STREET,DOVER,OH,44622,Tuscarawas,"(40.5174207, -81.46873370000002)","300 OXFORD STREET, DOVER, OH 44622",44622,39157-DOVER 4-B,158,219,-15.8
20362450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4359,,5783 DARROW ROAD,HUDSON,OH,44236,Summit,"(41.2225359, -81.4397141)","5783 DARROW ROAD, HUDSON, OH 44236",44236,39153-HUDSON 1-C,383,327,7.8
20398350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4360,,401 SOUTH ELMWOOD AVE.,MEDINA,OH,44256,Medina,"(41.1351612, -81.8664489)","401 SOUTH ELMWOOD AVE., MEDINA, OH 44256",44256,39103-MEDINA CITY 2-A,506,615,-9.6
20384900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4366,,8519 MAYFIELD ROAD,CHESTERLAND,OH,44026,Geauga,"(41.5217472, -81.3372009)","8519 MAYFIELD ROAD, CHESTERLAND, OH 44026",44026,39055-CHESTER TWP I,312,524,-25.2
20706450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4393,,105 NORTH PORTAGE STREET,DOYLESTOWN,OH,44230,Wayne,"(40.9698218, -81.69585)","105 NORTH PORTAGE STREET, DOYLESTOWN, OH 44230",44230,39169-CHIPPEWA TWP 4 DOY/TOWN,352,546,-21.2
20826950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4400,,3066 STATE ROUTE 160,GALLIPOLIS,OH,45631,Gallia,"(38.8446731, -82.2340777)","3066 STATE ROUTE 160, GALLIPOLIS, OH 45631",45631,39053-GREEN TWP 1,221,639,-47.9
20719300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4401,,5981 FAR HILLS AVENUE,DAYTON,OH,45429,Montgomery,"(39.659384, -84.1585365)","5981 FAR HILLS AVENUE, DAYTON, OH 45429",45429,39113-WASHINGTON G,522,641,-10
20968700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4437,,10085 DARROW ROAD,TWINSBURG,OH,44087,Summit,"(41.3404229, -81.43904789999999)","10085 DARROW ROAD, TWINSBURG, OH 44087",44087,39153-TWINSBURG 4-B,511,163,51
20961050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4445,,2620 W. BREESE RD.,LIMA,OH,45806,Allen,"(40.6868874, -84.1518024)","2620 W. BREESE RD., LIMA, OH 45806",45806,39003-SHAWNEE TWP J,189,518,-46
21122200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4483,,4777 SAWMILL ROAD,COLUMBUS,OH,43220,Franklin,"(40.0645257, -83.0939468)","4777 SAWMILL ROAD, COLUMBUS, OH 43220",43220,39049-COLUMBUS 64-F,711,365,31.8
21032100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4499,,1443 RICHMOND ROAD,LYNDHURST,OH,44124,Cuyahoga,"(41.5202737, -81.496115)","1443 RICHMOND ROAD, LYNDHURST, OH 44124",44124,39035-LYNDHURST 1-C,522,327,22.7
21982400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4572,,641 GRAHAM ROAD,CUYAHOGA FALLS,OH,44221,Summit,"(41.1612372, -81.48930709999999)","641 GRAHAM ROAD, CUYAHOGA FALLS, OH 44221",44221,39153-STOW 4-F,432,255,25.3
20806600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4605,,415 NORTH MAIN STREET,ORRVILLE,OH,44667,Wayne,"(40.8439411, -81.7643219)","415 NORTH MAIN STREET, ORRVILLE, OH 44667",44667,39169-ORRVILLE CITY 1,279,519,-29.5
20805700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4606,,620 EAST MARKET STREET,WARREN,OH,44481,Trumbull,"(41.2358851, -80.8100515)","620 EAST MARKET STREET, WARREN, OH 44481",44483,39155-WARREN CITY 4D,263,196,14.3
20775700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4607,,5901 MAYFIELD ROAD,MAYFIELD HEIGHTS,OH,44124,Cuyahoga,"(41.5205222, -81.4664878)","5901 MAYFIELD ROAD, MAYFIELD HEIGHTS, OH 44124",44124,39035-MAYFIELD HEIGHTS B,480,349,15.6
20893300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY #4621,,1001 NORTON ROAD,GALLOWAY,OH,43119,Franklin,"(39.9305808, -83.1450354)","1001 NORTON ROAD, GALLOWAY, OH 43119",43119,39049-COLUMBUS 87-A,298,295,0.5
