Business_Name,Public Zip,votes_dem,votes_rep,pct_dem_lead,PopInsured,TotalPop,Life Exp,Median_Income_Dollars,Mean_Income_Dollars,Public Address Street,Public Address City,Full Address,Geo,ZCTA5,Places_ID,GEOID
Shrivers Pharmacy,45651,64,232,-56,"4,920","5,366",73.9,"$57,761.00 ","$71,905.00 ",530 N Market St,McArthur,"530 N Market St, McArthur, OH 45651, USA","39.2536093,-82.4775758",45651,ChIJQZkYTAbGR4gRNYaEnKaTOJ4,39163-MCARTHUR EAST
Kroger Pharmacy,45764,206,176,7.6,"6,949","7,364",76.7,"$47,978.00 ","$58,401.00 ",965 Poplar St,Nelsonville,"965 Poplar St, Nelsonville, OH 45764, USA","39.451808899999996,-82.2207825",45764,ChIJRbMR2t3hR4gRM8mITpL6Tpg,39009-NELSONVILLE 4
Shrivers Pharmacy,45764,199,192,1.7,"6,949","7,364",73.7,"$47,978.00 ","$58,401.00 ",40 Watkins St,Nelsonville,"40 Watkins St, Nelsonville, OH 45764, USA","39.4570072,-82.2275642",45764,ChIJo3aH8OjhR4gRNGh-UfQRbPM,39009-NELSONVILLE 3
Kroger Pharmacy,45701,430,120,55.8,"31,761","33,238",77.2,"$49,604.00 ","$79,475.00 ",919 E State St,Athens,"919 E State St, Athens, OH 45701, USA","39.3356417,-82.0691612",45701,ChIJrzHnCFlySIgRyCG6uhpJbow,39009-ATHENS 4-1
Walmart Pharmacy,45701,430,120,55.8,"31,761","33,238",77.2,"$49,604.00 ","$79,475.00 ",929 E State St,Athens,"929 E State St, Athens, OH 45701, USA","39.3353075,-82.0669308",45701,ChIJi3c0F1lySIgRgostn4shotA,39009-ATHENS 4-1
Kroger Pharmacy,45714,213,534,-42.2,"8,517","9,326",72.9,"$57,045.00 ","$69,578.00 ",1008 Washington Blvd,Belpre,"1008 Washington Blvd, Belpre, OH 45714, USA","39.275475199999995,-81.5806559",45714,ChIJzzCVpJJLSIgRAGXRYyHbeHY,39167-BELPRE 1A
CVS Pharmacy,45701,430,120,55.8,"31,761","33,238",77.2,"$49,604.00 ","$79,475.00 ",555 E State St,Athens,"555 E State St, Athens, OH 45701, USA","39.3369891,-82.07858379999999",45701,ChIJFyjAoFZySIgRKivOQz3g7wI,39009-ATHENS 4-1
Shrivers Pharmacy & Wellness Center,45701,576,110,66.4,"31,761","33,238",73.4,"$49,604.00 ","$79,475.00 ",310 W Union St,Athens,"310 W Union St, Athens, OH 45701, USA","39.330447199999995,-82.1188583",45701,ChIJxWAmC0dzSIgRsgm3uWk_SzY,39009-ATHENS 1-1
Shrivers Pharmacy,45714,255,639,-42.6,"8,517","9,326",78.5,"$57,045.00 ","$69,578.00 ",812 Farson St,Belpre,"812 Farson St, Belpre, OH 45714, USA","39.2832571,-81.6103409",45714,ChIJ8T03QF1JSIgRwsXRlYhVrMs,39167-BELPRE 4A
Holzer Family Pharmacy Athens,45701,558,268,34.3,"31,761","33,238",80.7,"$49,604.00 ","$79,475.00 ",2131 E State St,Athens,"2131 E State St, Athens, OH 45701, USA","39.3335058,-82.02768669999999",45701,ChIJs5jekpxtSIgRprAh44f-ilg,39009-CANAAN TWP
Kroger Pharmacy,45782,49,73,-19.7,391,442,73.1,"$46,450.00 ","$50,540.00 ",19471 Lake Dr,Trimble,"19471 Lake Dr, Trimble, OH 45782, USA","39.4835577,-82.07992899999999",45782,ChIJLVUYsGAOSIgRC_qnPWrbeC0,39009-TRIMBLE VLG
CVS Pharmacy,45701,130,32,59.4,"31,761","33,238",,"$49,604.00 ","$79,475.00 ",32 S Court St,Athens,"32 S Court St, Athens, OH 45701, USA","39.3281703,-82.10099029999999",45701,ChIJYYP9DLxzSIgRN_w30hbEo7Y,39009-ATHENS 3-1
TheDrugStore on East State,45701,430,120,55.8,"31,761","33,238",77.2,"$49,604.00 ","$79,475.00 ",934 E State St,Athens,"934 E State St, Athens, OH 45701, USA","39.337016899999995,-82.06571799999999",45701,ChIJJQ5h7JFzSIgRSqnUz8nm80w,39009-ATHENS 4-1
Rising Suns Pharmacy,45701,36,13,46,"31,761","33,238",,"$49,604.00 ","$79,475.00 ",16 W Green Dr,Athens,"16 W Green Dr, Athens, OH 45701, USA","39.3248717,-82.1064936",45701,ChIJO1x7001zSIgRjk6ibxmC3XA,39009-ATHENS 1-4
Fruth Pharmacy,45714,213,534,-42.2,"8,517","9,326",78.5,"$57,045.00 ","$69,578.00 ",1401 Washington Blvd,Belpre,"1401 Washington Blvd, Belpre, OH 45714, USA","39.275145099999996,-81.5883034",45714,ChIJmW7fcvJLSIgRMRXfhGXlZk0,39167-BELPRE 1A
CVS Pharmacy,45714,213,534,-42.2,"8,517","9,326",72.9,"$57,045.00 ","$69,578.00 ",1013 Washington Blvd,Belpre,"1013 Washington Blvd, Belpre, OH 45714, USA","39.273458999999995,-81.5816205",45714,ChIJTWRcy_JLSIgRuZJAZL269L8,39167-BELPRE 1A
Benzer Oh 8 LLC,45784,252,740,-48.3,"2,936","3,089",81,"$80,096.00 ","$89,592.00 ",8465 OH-339,Vincent,"8465 OH-339, Vincent, OH 45784, USA","39.397123,-81.66688099999999",45784,ChIJZXIEAgs3SIgRQnTlXzteN5Q,39167-BARLOW
White Oak Pharmacy,45784,138,407,-48.5,"2,936","3,089",81,"$80,096.00 ","$89,592.00 ",8465 OH-339,Vincent,"8465 OH-339, Vincent, OH 45784, USA","39.3975716,-81.6677072",45784,ChIJh-JSQiY3SIgRlz33s6mocOI,39167-VINCENT
Ohio Society of Health-System Pharmacy,45750,307,487,-22.3,"24,487","25,988",77.3,"$56,883.00 ","$87,924.00 ",50 Greenwood Cir,Marietta,"50 Greenwood Cir, Marietta, OH 45750, USA","39.4221989,-81.485912",45750,ChIJHSPhgGLLSYgRs84YIXy8Kx4,39167-MARIETTA 4B
Walgreens Pharmacy,45750,393,330,8.5,"24,487","25,988",74.6,"$56,883.00 ","$87,924.00 ",300 Greene St,Marietta,"300 Greene St, Marietta, OH 45750, USA","39.4119713,-81.44828009999999",45750,ChIJ59Ie4PLLSYgRGTupsE0ZQqY,39167-MARIETTA 2A
Kroger Pharmacy,45750,335,454,-14.9,"24,487","25,988",74.6,"$56,883.00 ","$87,924.00 ",40 Acme St,Marietta,"40 Acme St, Marietta, OH 45750, USA","39.412271,-81.4286283",45750,ChIJFZFj6P3LSYgRn5s01tfRktQ,39167-MARIETTA 1B
Walmart Pharmacy,45750,137,337,-41.3,"24,487","25,988",74.6,"$56,883.00 ","$87,924.00 ",804 Pike St,Marietta,"804 Pike St, Marietta, OH 45750, USA","39.404197599999996,-81.418846",45750,ChIJHxebSUXJSYgRxXNeqsIJ_0s,39167-MARIETTA EAST A
CVS Pharmacy,45750,393,330,8.5,"24,487","25,988",71.2,"$56,883.00 ","$87,924.00 ",131 3rd St,Marietta,"131 3rd St, Marietta, OH 45750, USA","39.4137552,-81.45144549999999",45750,ChIJ4f6rlIzLSYgRiSdWe_V8XPA,39167-MARIETTA 2A
Kroger Pharmacy,45750,222,232,-2.1,"24,487","25,988",73.8,"$56,883.00 ","$87,924.00 ",401 Matthew St,Marietta,"401 Matthew St, Marietta, OH 45750, USA","39.430606,-81.46454399999999",45750,ChIJb1ETjqbNSYgRK2a1wtQn2nY,39167-MARIETTA 3C
"Amy C. French, BS",45750,393,330,8.5,"24,487","25,988",71.2,"$56,883.00 ","$87,924.00 ",118 Putnam St,Marietta,"118 Putnam St, Marietta, OH 45750, USA","39.4147536,-81.45541020000002",45750,ChIJN-EIA4zLSYgR8hYWi0XvpWQ,39167-MARIETTA 2A
Giant Eagle Pharmacy,45750,300,293,1.2,"24,487","25,988",73.8,"$56,883.00 ","$87,924.00 ",128 Gross St,Marietta,"Frontier Shopping Center, Frontier Shopping Center, 128 Gross St, Marietta, OH 45750, USA","39.4220591,-81.4485978",45750,ChIJk0BH3wrMSYgRuDUBzZNFzgI,39167-MARIETTA 2B
B&W Pharmacy and Gift Shop,45715,225,666,-48.6,"1,840","1,968",77.5,"$46,793.00 ","$64,711.00 ",501 Dietz Ln,Beverly,"501 Dietz Ln, Beverly, OH 45715, USA","39.549994,-81.63086679999999",45715,ChIJl_GShVsuSIgRqR53siCzeTU,39167-BEVERLY/WATERFORD
COVID-19 Drive-thru Testing at Walgreens,45750,393,330,8.5,"24,487","25,988",74.6,"$56,883.00 ","$87,924.00 ",300 Greene St,Marietta,"300 Greene St, Marietta, OH 45750, USA","39.4120284,-81.4484556",45750,ChIJqXsvCDvLSYgRhOmntM93PmY,39167-MARIETTA 2A
CVS Pharmacy,45013,348,789,-38.3,"50,178","53,105",75.1,"$72,932.00 ","$88,195.00 ",28 N Brookwood Ave,Hamilton,"28 N Brookwood Ave, Hamilton, OH 45013, USA","39.4206734,-84.5896241",45013,ChIJlwWtMWpHQIgRTiMIOq7mTi8,39017-HAMILTON CITY 1-07
Omnicare / Home Care Pharmacy,45246,310,72,60.4,"12,450","13,707",77.2,"$70,150.00 ","$90,968.00 ",5549 Spellmire Dr,West Chester Township,"5549 Spellmire Dr, West Chester Township, OH 45246, USA","39.3018307,-84.44285359999999",45246,ChIJOwi0ASZOQIgRWm1yiXfLkZg,39017-WEST CHESTER TWP 39
Kroger Pharmacy,45056,294,115,43,"26,555","27,366",,"$53,413.00 ","$78,944.00 ",300 S Locust St,Oxford,"300 S Locust St, Oxford, OH 45056, USA","39.5071905,-84.7513542",45056,ChIJ7fDGUxY9QIgRj9G8sLh5Vl0,39017-OXFORD CITY 01
Mercy Fairfield Riverfront Pharmacy,45014,267,284,-3.1,"41,163","45,105",,"$69,624.00 ","$91,870.00 ",3050 Mack Rd #330,Fairfield,"3050 Mack Rd #330, Fairfield, OH 45014, USA","39.3120507,-84.5175471",45014,ChIJCX0eZ9NOQIgRm6fWdMPkxnk,39017-FAIRFIELD CITY 1-07
Health Care Services,45237,771,54,86.2,"19,822","20,826",71.5,"$43,598.00 ","$62,400.00 ",7642 Production Dr,Cincinnati,"7642 Production Dr, Cincinnati, OH 45237, USA","39.199948899999995,-84.4546445",45237,ChIJQc2IGkZNQIgRLBMzyDljuNU,39061-CINCINNATI 07-I
Medco Health Solutions Inc,45014,224,350,-21.6,"41,163","45,105",73.1,"$69,624.00 ","$91,870.00 ",4865 Dixie Hwy,Fairfield,"4865 Dixie Hwy, Fairfield, OH 45014, USA","39.3443677,-84.5404228",45014,ChIJ6bOAS7xIQIgR6foiFO_VNfs,39017-FAIRFIELD CITY 2-06
River City Pharmaceuticals,45246,327,497,-20.2,"12,450","13,707",77.2,"$70,150.00 ","$90,968.00 ",4884 Duff Dr D,West Chester Township,"4884 Duff Dr D, West Chester Township, OH 45246, USA","39.3104604,-84.4613572",45246,ChIJjTNhOEpOQIgRjCslKQjOPFE,39017-WEST CHESTER TWP 28
Kroger Pharmacy,45251,264,494,-29.9,"18,882","20,456",79,"$75,620.00 ","$96,150.00 ",3636 Springdale Rd,Cincinnati,"3636 Springdale Rd, Cincinnati, OH 45251, USA","39.248864499999996,-84.60001960000001",45251,ChIJYQIuopFLQIgRyajSghVf6dU,39061-COLERAIN S
Meijer Pharmacy,45013,348,789,-38.3,"50,178","53,105",75.1,"$72,932.00 ","$88,195.00 ",1560 Main St,Hamilton,"1560 Main St, Hamilton, OH 45013, USA","39.430355899999995,-84.5969066",45013,ChIJA2DqGltHQIgRhqV7EbCpNHA,39017-HAMILTON CITY 1-07
Queen City Physicians Western Ridge Internal Medicine,45247,332,742,-37.9,"23,053","23,483",80.7,"$95,810.00 ","$118,421.00 ",6949 Good Samaritan Dr #210,Cincinnati,"6949 Good Samaritan Dr #210, Cincinnati, OH 45247, USA","39.203485199999996,-84.6697658",45247,ChIJo65Z77U0QIgRo-_-84eTdtc,39061-GREEN L
Mercy Health - Fairfield Hospital,45014,267,284,-3.1,"41,163","45,105",,"$69,624.00 ","$91,870.00 ",3000 Mack Rd,Fairfield,"3000 Mack Rd, Fairfield, OH 45014, USA","39.312663,-84.517417",45014,ChIJ60D6KNROQIgRp9hdY828ftw,39017-FAIRFIELD CITY 1-07
CVS Pharmacy,45056,333,99,53.2,"26,555","27,366",,"$53,413.00 ","$78,944.00 ",123 W Spring St,Oxford,"123 W Spring St, Oxford, OH 45056, USA","39.5069571,-84.7450334",45056,ChIJTVFVehE9QIgRc4KvFjk2jes,39017-OXFORD CITY 08
Walgreens Pharmacy,45240,623,140,62.2,"12,450","13,707",75.6,"$70,150.00 ","$90,968.00 ",385 Northland Blvd,Cincinnati,"385 Northland Blvd, Cincinnati, OH 45240, USA","39.281797,-84.4859912",45246,ChIJTctGdYZOQIgRZdWrMeHzNHQ,39061-FOREST PARK L
Kroger Pharmacy,45013,348,789,-38.3,"50,178","53,105",75.1,"$72,932.00 ","$88,195.00 ",1474 Main St,Hamilton,"1474 Main St, Hamilton, OH 45013, USA","39.4261814,-84.594203",45013,ChIJT9Y7zEJHQIgRMzRIySqgnW0,39017-HAMILTON CITY 1-07
Walgreens Pharmacy,45011,320,185,26.1,"67,234","73,205",69.8,"$90,360.00 ","$116,983.00 ",1090 High St,Hamilton,"1090 High St, Hamilton, OH 45011, USA","39.396558999999996,-84.5488244",45011,ChIJEyZqNllGQIgRut_fNwocytA,39017-HAMILTON CITY 4-01
Walmart Pharmacy,45056,440,364,9.4,"26,555","27,366",80.2,"$53,413.00 ","$78,944.00 ",5720 College Corner Pike,Oxford,"5720 College Corner Pike, Oxford, OH 45056, USA","39.528573699999995,-84.7670279",45056,ChIJHwDwV1E9QIgRtRHF25nNaeI,39017-OXFORD TWP 3
Kroger Pharmacy,45069,355,396,-5.4,"52,596","55,236",78.9,"$115,539.00 ","$137,448.00 ",8000 Princeton Glendale Rd,West Chester Township,"8000 Princeton Glendale Rd, West Chester Township, OH 45069, USA","39.3591128,-84.45813869999999",45069,ChIJ9zDzmoRFQIgRFGc6Ea7DxM8,39017-WEST CHESTER TWP 13
Walgreens Pharmacy,45011,575,1078,-30,"67,234","73,205",,"$90,360.00 ","$116,983.00 ",5011 Princeton Rd,Liberty Township,"5011 Princeton Rd, Liberty Township, OH 45011, USA","39.387647699999995,-84.453062",45011,ChIJ1yN8jiRFQIgR1dsw6N_eZ5g,39017-LIBERTY TWP 11
Walgreens Pharmacy,45013,182,239,-13.1,"50,178","53,105",70.1,"$72,932.00 ","$88,195.00 ",562 Main St,Hamilton,"562 Main St, Hamilton, OH 45013, USA","39.4069152,-84.5728209",45013,ChIJ5_uf2QVHQIgRTDKdLO-I1UY,39017-HAMILTON CITY 1-04
Kroger Pharmacy,45014,338,389,-7,"41,163","45,105",80.6,"$69,624.00 ","$91,870.00 ",560 Wessel Dr,Fairfield,"560 Wessel Dr, Fairfield, OH 45014, USA","39.3361728,-84.5625454",45014,ChIJicKvpPVIQIgRQEuK9nq8y6o,39017-FAIRFIELD CITY 4-04
Kroger Pharmacy,45215,879,125,73.2,"28,886","30,390",78.5,"$71,949.00 ","$102,109.00 ",10595 Springfield Pike,Cincinnati,"10595 Springfield Pike, Cincinnati, OH 45215, USA","39.2600007,-84.471273",45215,ChIJbdOrCs9NQIgRXAvmAgkgzAA,39061-WOODLAWN B
Walgreens Pharmacy,45014,191,419,-36.6,"41,163","45,105",73.1,"$69,624.00 ","$91,870.00 ",4610 Pleasant Ave,Fairfield,"4610 Pleasant Ave, Fairfield, OH 45014, USA","39.3523771,-84.5584184",45014,ChIJBbfVMYRIQIgRHJWZU6h0LOs,39017-FAIRFIELD CITY 2-01
CVS Pharmacy,45011,324,546,-25.1,"67,234","73,205",70.7,"$90,360.00 ","$116,983.00 ",3369 Princeton Rd,Hamilton,"3369 Princeton Rd, Hamilton, OH 45011, USA","39.3878206,-84.5046845",45011,ChIJcVm7K8ZFQIgRjqQQoCnSaM8,39017-FAIRFIELD TWP 06
Walgreens Pharmacy,45069,293,306,-2.1,"52,596","55,236",82.5,"$115,539.00 ","$137,448.00 ",8614 Princeton Glendale Rd,West Chester Township,"8614 Princeton Glendale Rd, West Chester Township, OH 45069, USA","39.3432653,-84.4608253",45069,ChIJMS3KlJJPQIgRIF9QrXww0VE,39017-WEST CHESTER TWP 23
Kroger Pharmacy,45011,180,262,-18.3,"67,234","73,205",69,"$90,360.00 ","$116,983.00 ",1450 S Erie Blvd,Hamilton,"1450 S Erie Blvd, Hamilton, OH 45011, USA","39.380958,-84.54739950000001",45011,ChIJ45rzDl9GQIgRWTk-z4I0zeM,39017-HAMILTON CITY 5-01
CVS Pharmacy,45320,167,463,-46.5,"14,606","15,161",76.3,"$68,740.00 ","$81,839.00 ",1300 N Barron St,Eaton,"1300 N Barron St, Eaton, OH 45320, USA","39.7589091,-84.6352817",45320,ChIJ0WjJNpIMQIgRftCnNIx0WJ0,39135-EATON 7
Everyday Pharmacy,45013,182,239,-13.1,"50,178","53,105",70.1,"$72,932.00 ","$88,195.00 ",502 Main St,Hamilton,"502 Main St, Hamilton, OH 45013, USA","39.405937,-84.57181299999999",45013,ChIJywsqS49JQIgRGRQyFTRFEmY,39017-HAMILTON CITY 1-04
Walgreens Pharmacy,45067,154,730,-64.9,"14,691","15,328",75.3,"$88,662.00 ","$100,884.00 ",1001 W State St,Trenton,"1001 W State St, Trenton, OH 45067, USA","39.4801272,-84.4781497",45067,ChIJgdUD0f9CQIgRZQie3q6DABE,39017-ST CLAIR TWP 1
Kroger Pharmacy,45011,441,533,-9.3,"67,234","73,205",,"$90,360.00 ","$116,983.00 ",5250 Newtown Dr,Liberty Twp,"5250 Newtown Dr, Liberty Twp, OH 45011, USA","39.4221029,-84.4571496",45011,ChIJQUWe2dRFQIgRbqU1_Sbz7Js,39017-LIBERTY TWP 01
CVS Pharmacy,45014,321,511,-22.5,"41,163","45,105",73.6,"$69,624.00 ","$91,870.00 ",590 Nilles Rd,Fairfield,"590 Nilles Rd, Fairfield, OH 45014, USA","39.338348499999995,-84.5606466",45014,ChIJI_Rkz_RIQIgR8gROUPHlPRg,39017-FAIRFIELD CITY 4-02
Camden Village Pharmacy,45311,91,351,-57.4,"5,599","5,960",74.6,"$66,210.00 ","$80,923.00 ",75 W Central Ave,Camden,"75 W Central Ave, Camden, OH 45311, USA","39.628895,-84.649509",45311,ChIJxeBQT54TQIgRc_pQEvgOX8E,39135-CAMDEN 1
Walmart Pharmacy,45011,456,614,-14.6,"67,234","73,205",70.7,"$90,360.00 ","$116,983.00 ",3201 Princeton Rd,Hamilton,"3201 Princeton Rd, Hamilton, OH 45011, USA","39.388684999999995,-84.50775949999999",45011,ChIJNZEuZs9FQIgRDcJIHtNXqSI,39017-FAIRFIELD TWP 12
Community First Pharmacy,45013,234,331,-16.9,"50,178","53,105",75.1,"$72,932.00 ","$88,195.00 ",1026 Main St,Hamilton,"1026 Main St, Hamilton, OH 45013, USA","39.4149065,-84.5829047",45013,ChIJeSgEoVVGQIgR6v6MYqTko3g,39017-HAMILTON CITY 1-10
CVS Pharmacy,45251,425,433,-0.9,"18,882","20,456",74.6,"$75,620.00 ","$96,150.00 ",9040 Colerain Ave,Cincinnati,"9040 Colerain Ave, Cincinnati, OH 45251, USA","39.235751,-84.5893521",45251,ChIJBcGLxIlKQIgR04PpvDwTQ5M,39061-COLERAIN C
Walgreens Pharmacy,45231,411,515,-11,"37,279","40,172",82.5,"$69,140.00 ","$83,182.00 ",2335 John Gray Rd,Cincinnati,"2335 John Gray Rd, Cincinnati, OH 45231, USA","39.307389199999996,-84.5631985",45231,ChIJIX-7DQhJQIgRAosOgfM-XrA,39061-COLERAIN EE
Walmart Pharmacy,45013,152,501,-52.9,"50,178","53,105",75.8,"$72,932.00 ","$88,195.00 ",1505 Main St,Hamilton,"1505 Main St, Hamilton, OH 45013, USA","39.4260626,-84.5997435",45013,ChIJs2FTgF5HQIgRo0dDQOvYsV0,39017-HANOVER TWP 02
CVS Pharmacy,45239,346,458,-13.8,"27,619","28,875",79,"$58,276.00 ","$69,996.00 ",8215 Colerain Ave,Cincinnati,"8215 Colerain Ave, Cincinnati, OH 45239, USA","39.2203886,-84.5873345",45239,ChIJi-H7hZRKQIgRAHf9IVcalvE,39061-COLERAIN V
CVS Pharmacy,45044,202,311,-21,"49,512","53,999",72.8,"$71,942.00 ","$98,989.00 ",820 S Breiel Blvd,Middletown,"820 S Breiel Blvd, Middletown, OH 45044, USA","39.50150130000001,-84.35597100000001",45044,ChIJo61JReJdQIgR81Y7SgX0NFk,39017-MIDDLETOWN CITY 4-03
Walgreens Pharmacy,45044,202,311,-21,"49,512","53,999",72.8,"$71,942.00 ","$98,989.00 ",700 S Breiel Blvd,Middletown,"700 S Breiel Blvd, Middletown, OH 45044, USA","39.5030949,-84.3562283",45044,ChIJj23B5eJdQIgRYUY2rtYkU28,39017-MIDDLETOWN CITY 4-03
Kroger Pharmacy,45005,202,262,-12.7,"29,860","31,722",77.3,"$74,239.00 ","$92,716.00 ",3420 Towne Blvd,Middletown,"3420 Towne Blvd, Middletown, OH 45005, USA","39.4947667,-84.32807679999999",45005,ChIJpdYW0zheQIgRhVHTrH7uRoU,39165-FRANKLIN TWP H
Meijer Pharmacy,45005,202,262,-12.7,"29,860","31,722",77.3,"$74,239.00 ","$92,716.00 ",3651 Towne Blvd,Franklin,"3651 Towne Blvd, Franklin, OH 45005, USA","39.5002308,-84.33096669999999",45005,ChIJ03vqyj1eQIgRcGz2W3B9sN0,39165-FRANKLIN TWP H
Walmart Pharmacy,45044,202,262,-12.7,"49,512","53,999",77.3,"$71,942.00 ","$98,989.00 ",2900 Towne Blvd,Middletown,"2900 Towne Blvd, Middletown, OH 45044, USA","39.4876317,-84.327024",45044,ChIJpSoZyT5eQIgR80kAPckRWuQ,39165-FRANKLIN TWP H
Dayton Physicians Pharmacy Services,45409,390,329,8.4,"15,164","15,487",76.6,"$84,000.00 ","$126,022.00 ",3120 Governor's Pl Blvd,Dayton,"3120 Governor's Pl Blvd, Dayton, OH 45409, USA","39.705801099999995,-84.19926459999999",45409,ChIJ_5Pb43uHQIgRy0LvCb-uKrE,39113-KETTERING 4-D
Kroger Pharmacy,45044,85,279,-52.6,"49,512","53,999",70,"$71,942.00 ","$98,989.00 ",428 Oxford State Rd,Middletown,"428 Oxford State Rd, Middletown, OH 45044, USA","39.479077499999995,-84.4210873",45044,ChIJrThUQCFdQIgRYp2p-rjaVog,39017-LEMON TWP 2
Optum Infusion Pharmacy,45249,329,320,1.4,"13,254","14,153",79.1,"$107,227.00 ","$162,586.00 ",7167 E Kemper Rd,Cincinnati,"7167 E Kemper Rd, Cincinnati, OH 45249, USA","39.280501199999996,-84.3597743",45249,ChIJw6BAkU5RQIgR42-_cQinO_A,39061-SYCAMORE D
Kroger Pharmacy,45050,362,722,-32.6,"11,765","12,005",79,"$104,519.00 ","$112,283.00 ",3033 Heritage Green Dr,Monroe,"3033 Heritage Green Dr, Monroe, OH 45050, USA","39.4423969,-84.37801669999999",45050,ChIJJ69binJcQIgRJmumkh1id0U,39017-MONROE CITY 2
CVS Pharmacy,45042,97,250,-43.5,"26,355","28,039",68.6,"$66,732.00 ","$86,493.00 ",2424 N Verity Pkwy,Middletown,"2424 N Verity Pkwy, Middletown, OH 45042, USA","39.5268624,-84.3813921",45042,ChIJ4wxtWW9nQIgRDumh7eRmegg,39017-MIDDLETOWN CITY 1-06
Atrium Medical Center Pharmacy,45005,118,473,-59.6,"29,860","31,722",77.3,"$74,239.00 ","$92,716.00 ",1 Medical Center Dr,Middletown,"1 Medical Center Dr, Middletown, OH 45005, USA","39.498552,-84.3144283",45005,ChIJBV-1bjNeQIgR4x2P6If1Zs4,39165-FRANKLIN TWP E
Meijer Pharmacy,45449,413,584,-16.8,"16,840","18,277",81.9,"$60,303.00 ","$76,539.00 ",5858 N Springboro Pike,Dayton,"5858 N Springboro Pike, Dayton, OH 45449, USA","39.6706681,-84.2190603",45449,ChIJu9Q--oKIQIgRfkQZBcuasM8,39113-MIAMI B
CVS Pharmacy,45432,279,365,-13.1,"14,028","14,795",,"$83,323.00 ","$94,424.00 ",1331 N Fairfield Rd,Beavercreek,"1331 N Fairfield Rd, Beavercreek, OH 45432, USA","39.7288034,-84.0579648",45432,ChIJ5-EEyZ-bQIgRxKSZVs3uv7M,39057-BEAVERCREEK 010
Walgreens Pharmacy,45420,475,540,-6.2,"22,032","23,797",72.4,"$56,670.00 ","$68,472.00 ",2140 E Dorothy Ln,Kettering,"2140 E Dorothy Ln, Kettering, OH 45420, USA","39.7023935,-84.1247084",45420,ChIJmSx6_BiFQIgR5U95n2dm-Y4,39113-KETTERING 2-D
CVS Pharmacy,45429,515,554,-3.5,"24,889","26,302",72.4,"$77,291.00 ","$107,448.00 ",1410 E Dorothy Ln,Kettering,"1410 E Dorothy Ln, Kettering, OH 45429, USA","39.70322,-84.1411238",45429,ChIJrSs_AweFQIgR5C81_cZylM0,39113-KETTERING 2-A
Kroger Pharmacy,45459,551,404,15.1,"10,784","11,927",68.6,"$47,788.00 ","$64,589.00 ",2921 W Alex Bell Rd,Dayton,"2921 W Alex Bell Rd, Dayton, OH 45459, USA","39.6754336,-84.2197989",45439,ChIJLfjcf4KIQIgRvA3fVnN-a0o,39113-MORAINE 4-A
Kroger Pharmacy,45420,426,490,-6.8,"22,032","23,797",77.9,"$56,670.00 ","$68,472.00 ",2115 E Dorothy Ln,Kettering,"2115 E Dorothy Ln, Kettering, OH 45420, USA","39.7045539,-84.124715",45420,ChIJaTHM0xiFQIgRq11-_zLul_4,39113-KETTERING 1-I
Kroger Pharmacy,45040,575,585,-0.8,"56,495","57,748",,"$131,803.00 ","$175,985.00 ",5100 Terra Firma Dr,Mason,"5100 Terra Firma Dr, Mason, OH 45040, USA","39.3178108,-84.3157554",45040,ChIJP4HOVVhWQIgRLYEejC8iVxo,39165-DEERFIELD TWP K
Walgreens Pharmacy,45342,324,588,-28.3,"33,709","36,296",77.9,"$83,936.00 ","$101,461.00 ",1260 E Central Ave,Miamisburg,"1260 E Central Ave, Miamisburg, OH 45342, USA","39.6397214,-84.2664094",45342,ChIJE4lQYSmIQIgRao_K01yitLk,39113-MIAMISBURG 3-A
Kroger Pharmacy,45039,278,307,-4.8,"27,998","28,868",83.8,"$111,774.00 ","$135,375.00 ",2900 US-22 STE 1,Maineville,"2900 US-22 STE 1, Maineville, OH 45039, USA","39.311127899999995,-84.2748763",45039,ChIJMTZmvG_4QIgRfbyOzuYRKbM,39165-DEERFIELD TWP R
Kroger Pharmacy,45342,324,588,-28.3,"33,709","36,296",78.9,"$83,936.00 ","$101,461.00 ",255 N Heincke Rd,Miamisburg,"255 N Heincke Rd, Miamisburg, OH 45342, USA","39.6433622,-84.2665597",45342,ChIJk7_2GSmIQIgRB3aeYUyER64,39113-MIAMISBURG 3-A
Wellness 1 Pharmacy,45449,582,361,22.9,"16,840","18,277",75.1,"$60,303.00 ","$76,539.00 ",2092 S Alex Rd,Dayton,"2092 S Alex Rd, Dayton, OH 45449, USA","39.6435029,-84.242627",45449,ChIJGZvr9UWIQIgR-0dH8y-4SCw,39113-W CARROLLTON E
Primary Health Solutions Middletown Pharmacy,45044,339,108,50.9,"49,512","53,999",67.4,"$71,942.00 ","$98,989.00 ",1036 Verity Pkwy,Middletown,"1036 Verity Pkwy, Middletown, OH 45044, USA","39.5054783,-84.4091413",45044,ChIJRQl_M9JdQIgRcbYKjWVE5q0,39017-MIDDLETOWN CITY 2-02
Meijer Pharmacy,45069,433,562,-12.8,"52,596","55,236",84.3,"$115,539.00 ","$137,448.00 ",7390 Tylersville Rd,West Chester Township,"7390 Tylersville Rd, West Chester Township, OH 45069, USA","39.3569806,-84.3769449",45069,ChIJI6mshnRaQIgRnawOx-RpXz8,39017-WEST CHESTER TWP 11
