License: Number,Type,Licensee,Licensee Doing Business As,Public Address Street,Public Address City,Public Zip,Public Address - County,Issue Date,Expiration Date,Effective Date,Full Address,Geo,ZCTA5,Life Exp,HH Income,Insured,Pres Vote
MMD.0700060,Medical Marijuana Dispensary - Certificate of Operation,"PharmaCann Hillsboro, LLC",Verilife,1098 N High St,Hillsboro,45133-8500,Highland,1/22/2021,7/1/2025,7/2/2023,"1098 N High St Hillsboro, OH 45133-8500","(39.2189318, -83.608121)",45133,75,,,
MMD.0700140,Medical Marijuana Dispensary - Certificate of Operation,"Cascade Southern Ohio, LLC",Uplift,401 Rivers Edge,Milford,45150-2589,Clermont,4/19/2023,7/1/2025,4/19/2023,"401 Rivers Edge Milford, OH 45150-2589","(39.16128399999999, -84.270353)",45150,82.8,,,
MMD.0700097,Medical Marijuana Dispensary - Certificate of Operation,"Cascade Southern Ohio, LLC",Uplift,101 Mercy Blvd,Mount Orab,45154-0296,Brown,1/18/2023,7/1/2025,1/18/2023,"101 Mercy Blvd Mount Orab, OH 45154-0296","(39.044246, -83.94090530000001)",45154,,,,
MMD.0700105,Medical Marijuana Dispensary - Certificate of Operation,"Ohio Patient Access, LLC",Ascend Dispensary Outlet,830 Reedy St,Cincinnati,45202-2216,Hamilton,1/3/2024,7/1/2025,1/3/2024,"830 Reedy St Cincinnati, OH 45202-2216","(39.1068452, -84.5052777)",45202,,,,
MMD.0700122,Medical Marijuana Dispensary - Certificate of Operation,"Canoe Hill Ohio 2, LLC",Story of Cincinnati,3950 Edwards Rd,Cincinnati,45209-1928,Hamilton,9/7/2023,7/1/2025,9/7/2023,"3950 Edwards Rd Cincinnati, OH 45209-1928","(39.1516166, -84.44196939999999)",45209,75.5,,,
MMD.0700147,Medical Marijuana Dispensary - Certificate of Operation,Heritage Wellness Ohio LLC,Story of Cincinnati II,3944 Edwards Rd,Cincinnati,45209-1928,Hamilton,8/22/2023,7/1/2025,8/22/2023,"3944 Edwards Rd Cincinnati, OH 45209-1928","(39.1513591, -84.4419022)",45209,75.5,,,
MMD.0700136,Medical Marijuana Dispensary - Certificate of Operation,"Nectar Markets of Ohio, LLC",Nectar Medical Cannabis Dispensary,3405 Werk Rd,Cincinnati,45211-6832,Hamilton,5/15/2023,7/1/2025,5/15/2023,"3405 Werk Rd Cincinnati, OH 45211-6832","(39.1409372, -84.61715149999999)",45211,76.2,,,
MMD.0700109,Medical Marijuana Dispensary - Certificate of Operation,Aron OH LLC,The Landing Dispensary,4029 Smith Rd,Cincinnati,45209-1923,Hamilton,9/28/2023,7/1/2025,9/28/2023,"4029 Smith Rd Cincinnati, OH 45209-1923","(39.1515102, -84.4462653)",45212,73.4,,,
MMD.0700113,Medical Marijuana Dispensary - Certificate of Operation,"Canoe Hill Ohio 3, LLC",Queen City Cannabis Medical Dispensary,3764 Montgomery Rd,Norwood,45212-3739,Hamilton,1/10/2024,7/1/2025,1/10/2024,"3764 Montgomery Rd Norwood, OH 45212-3739","(39.1481057, -84.46595339999999)",45212,74.2,,,
MMD.0700063,Medical Marijuana Dispensary - Certificate of Operation,Care Med Associates LLC,Sunnyside,5149 Kennedy Ave,Cincinnati,45213-2617,Hamilton,2/15/2021,7/1/2025,7/2/2023,"5149 Kennedy Ave Cincinnati, OH 45213-2617","(39.1668757, -84.42108259999999)",45213,,,,
MMD.0700029,Medical Marijuana Dispensary - Certificate of Operation,"Pharmacann Ohio, LLC",Verilife,5431 Ridge Ave,Cincinnati,45213-2513,Hamilton,9/4/2019,7/1/2025,7/2/2023,"5431 Ridge Ave Cincinnati, OH 45213-2513","(39.1712411, -84.4279158)",45213,72.9,,,
MMD.0700066,Medical Marijuana Dispensary - Certificate of Operation,"GreenRx, LLC",Zen Leaf Cincinnati,8420 Vine St,Cincinnati,45216-1116,Hamilton,7/1/2021,7/1/2025,7/2/2023,"8420 Vine St Cincinnati, OH 45216-1116","(39.216159, -84.473405)",45216,73.5,,,
MMD.0700098,Medical Marijuana Dispensary - Certificate of Operation,Campbell Hill Ventures LLC,BEYOND / HELLO,693 Old State Route 74,Cincinnati,45245,Clermont,12/29/2022,7/1/2025,12/29/2022,"693 Old State Route 74 Cincinnati, OH 45245","(39.105528, -84.2853452)",45244,78.4,,,
MMD.0700104,Medical Marijuana Dispensary - Certificate of Operation,"The Forest Cincinnati, LLC",The Forest Cincinnati,4412 Mount Carmel Tobasco Rd,Cincinnati,45244-2201,Clermont,8/28/2023,7/1/2025,8/28/2023,"4412 Mount Carmel Tobasco Rd Cincinnati, OH 45244-2201","(39.0967213, -84.30001910000001)",45244,76.3,,,
MMD.0700129,Medical Marijuana Dispensary - Certificate of Operation,"Ohio Patient Access, LLC",Ascend Dispensary Outlet,1206 Recker Rd,Piqua,45356-4114,Miami,12/22/2023,7/1/2025,12/22/2023,"1206 Recker Rd Piqua, OH 45356-4114","(40.1504445, -84.2159338)",45356,75,,,
MMD.0700108,Medical Marijuana Dispensary - Certificate of Operation,"The Green Goat Dispensary, LLC",Ohio Cannabis Company,8866 N County Road 25a,Piqua,45356-8504,Miami,6/1/2023,7/1/2025,6/1/2023,"8866 N County Road 25a Piqua, OH 45356-8504","(40.1660163, -84.226871)",45356,75,,,
MMD.0700073,Medical Marijuana Dispensary - Certificate of Operation,"Cannascend Alternative, LLC",,333 Wayne Ave,Dayton,45410-1115,Montgomery,6/30/2021,7/1/2025,7/2/2023,"333 Wayne Ave Dayton, OH 45410-1115","(39.7564218, -84.1817942)",45402,,,,
MMD.0700123,Medical Marijuana Dispensary - Certificate of Operation,OTC Ohio LLC,Off the Charts,3145 Salem Ave,Dayton,45406,Montgomery,4/11/2024,7/1/2025,4/11/2024,"3145 Salem Ave Dayton, OH 45406","(39.7905886, -84.2408286)",45406,73.7,,,
MMD.0700118,Medical Marijuana Dispensary - Certificate of Operation,"Guaranteed Investments OH, LLC",Guaranteed Dispensary,1910 Wayne Ave,Dayton,45410-2133,Montgomery,5/12/2023,7/1/2025,5/12/2023,"1910 Wayne Ave Dayton, OH 45410-2133","(39.74316350000001, -84.1669671)",45410,72.8,,,
MMD.0700046,Medical Marijuana Dispensary - Certificate of Operation,"Pure Ohio Dayton, LLC",Pure Ohio Wellness,1875 Needmore Rd,Dayton,45414-3805,Montgomery,11/4/2019,7/1/2025,7/2/2023,"1875 Needmore Rd Dayton, OH 45414-3805","(39.8199092, -84.2018971)",45414,69.7,,,
MMD.0700124,Medical Marijuana Dispensary - Certificate of Operation,GRD Ohio LLC,Green Releaf,3620 Germantown St,Dayton,45417-4130,Montgomery,4/4/2023,7/1/2025,4/4/2023,"3620 Germantown St Dayton, OH 45417-4130","(39.7339648, -84.2520471)",45417,71,,,
MMD.0700079,Medical Marijuana Dispensary - Certificate of Operation,"Harvest of Ohio, LLC",Mavuno,4370 Tonawanda Trl,Beavercreek,45430-1951,Greene,9/21/2021,7/1/2025,7/2/2023,"4370 Tonawanda Trl Beavercreek, OH 45430-1951","(39.6975629, -84.0999027)",45430,78.5,,,
MMD.0700145,Medical Marijuana Dispensary - Certificate of Operation,"Daily Releaf, LLC",Ayr Dispensary,4918 Airway Rd,Riverside,45431-1374,Montgomery,11/8/2023,7/1/2025,11/8/2023,"4918 Airway Rd Riverside, OH 45431-1374","(39.7693486, -84.1206875)",45431,74.2,,,
MMD.0700069,Medical Marijuana Dispensary - Certificate of Operation,"Mad River Remedies, LLC",Zen Leaf Dayton,5604 Airway Rd,Riverside,45431-1506,Montgomery,7/8/2021,7/1/2025,7/2/2023,"5604 Airway Rd Riverside, OH 45431-1506","(39.77075869999999, -84.10603379999999)",45431,,,,
MMD.0700056,Medical Marijuana Dispensary - Certificate of Operation,"The Forest Springfield, LLC",,1711 W Main St,Springfield,45504-2835,Clark,10/29/2020,7/1/2025,7/2/2023,"1711 W Main St Springfield, OH 45504-2835","(39.9258381, -83.8386541)",45504,69.6,,,
MMD.0700085,Medical Marijuana Dispensary - Certificate of Operation,BCR Retail Springfield LLC,Terrasana,183 Raydo Cir,Springfield,45506-3556,Clark,10/19/2021,7/1/2025,7/2/2023,"183 Raydo Cir Springfield, OH 45506-3556","(39.89326080000001, -83.816768)",45506,76.5,,,
MMD.0700064,Medical Marijuana Dispensary - Certificate of Operation,Verdant Creations Chillicothe,Sunnyside,1641 N Bridge St,Chillicothe,45601-4106,Ross,2/15/2021,7/1/2025,7/2/2023,"1641 N Bridge St Chillicothe, OH 45601-4106","(39.3696288, -82.9755812)",45601,73.2,,,
MMD.0700096,Medical Marijuana Dispensary - Certificate of Operation,"Jackson Pharm, LLC",Herbal Wellness Center,3 Acy Ave Ste A,Jackson,45640-8551,Jackson,12/12/2022,7/1/2025,7/2/2023,"3 Acy Ave Ste A Jackson, OH 45640-8551","(39.0349267, -82.6028128)",45640,,,,
MMD.0700165,Medical Marijuana Dispensary - Certificate of Operation,"SEO Natural Enterprises, LLC",Backroad Wellness,3210 Rhodes Ave,New Boston,45662-4912,Scioto,6/21/2023,7/1/2025,6/21/2023,"3210 Rhodes Ave New Boston, OH 45662-4912","(38.744287, -82.9493756)",45662,72.2,,,
MMD.0700103,Medical Marijuana Dispensary - Certificate of Operation,Southern Ohio Botanicals LLC,Southern Ohio Botanicals,15451 Us Highway 23,Waverly,45690-9338,Pike,5/19/2023,7/1/2025,5/19/2023,"15451 Us Highway 23 Waverly, OH 45690-9338","(39.125625, -82.9875911)",45690,77.3,,,
MMD.0700117,Medical Marijuana Dispensary - Certificate of Operation,"Big Perm?s Dispensary Ohio, LLC",Debbie's Dispensary,544 Richland Ave,Athens,45701-3703,Athens,8/14/2023,7/1/2025,8/14/2023,"544 Richland Ave Athens, OH 45701-3703","(39.3034457, -82.1023381)",45701,80.7,,,
MMD.0700078,Medical Marijuana Dispensary - Certificate of Operation,"The Mavuno Group, LLC",Mavuno of Athens,711 W Union St,Athens,45701-9410,Athens,9/1/2021,7/1/2025,7/2/2023,"711 W Union St Athens, OH 45701-9410","(39.3288892, -82.12832929999999)",45701,75.9,,,
MMD.0700070,Medical Marijuana Dispensary - Certificate of Operation,"Cannascend Alternative, LLC",,414 Greene St,Marietta,45750-3214,Washington,6/30/2021,7/1/2025,7/2/2023,"414 Greene St Marietta, OH 45750-3214","(39.4134632, -81.4469323)",45750,74.6,,,
MMD.0700111,Medical Marijuana Dispensary - Certificate of Operation,"SEO Natural Enterprises, LLC",Backroad Wellness,1503 Harding Hwy,Lima,45804-3173,Allen,3/30/2023,7/1/2025,3/30/2023,"1503 Harding Hwy Lima, OH 45804-3173","(40.7312011, -84.0783141)",45804,69.1,,,
MMD.0700126,Medical Marijuana Dispensary - Certificate of Operation,Ohio Holistic Health LLC,Ohio Holistic Health LLC,215 W 5th St,Delphos,45833-1417,Van Wert,4/10/2024,7/1/2025,4/10/2024,"215 W 5th St Delphos, OH 45833-1417","(40.8466226, -84.3416532)",45833,77.5,,,
MMD.0700059,Medical Marijuana Dispensary - Certificate of Operation,"Eagle Dispensaries 2, LLC",Verilife,502 N Dixie Hwy,Wapakoneta,45895-7757,Auglaize,1/22/2021,7/1/2025,7/2/2023,"502 N Dixie Hwy Wapakoneta, OH 45895-7757","(40.575133, -84.1832079)",45895,76,,,
